game,tas,sha1
Super Mario Bros,https://tasvideos.org/3728M,ea343f4e445a9050d4b4fbac2c77d0693b1d0922
Super Mario Bros 3,https://tasvideos.org/3028M,A03E7E526E79DF222E048AE22214BCA2BC49C449
