,133
id,2127
title,NES Front Line by illayaya in 02:38.97
branch,baseline
goal,baseline
gameGoalId,284
emulatorVersion,FCEUX 2.1.0a
class,Standard
systemCode,NES
submissionId,2331
gameId,833
gameVersionId,182
obsoletedById,
frames,9554
rerecordCount,3442
systemFrameRate,60.0988138974405
movieFileName,was0x-frontline.fm2
additionalAuthors,
createTimestamp,2012-11-09T07:41:52
authors,['illayaya']
tags,['1level']
flags,[]
urls,"['https://archive.org/download/NesFrontLinejpnIn0238.97ByWas0x/frontline-tas-was0x.mkv', 'https://archive.org/download/NesFrontLinejpnIn0238.97ByWas0x/frontline-tas-was0x_10bit444.mkv', 'https://www.youtube.com/watch?v=9FqM7IJLHJ4']"
filePaths,['2127M.png']
SHA1,79C5F8D187B8FECC95CE5978F7BC7F6014341ECB
