,262
id,3097
title,NES Lupin Sansei: Pandora no Isan by fcxiaopengyou in 10:22.79
branch,baseline
goal,baseline
gameGoalId,2487
emulatorVersion,FCEUX 2.2.2
class,Standard
systemCode,NES
submissionId,5029
gameId,1759
gameVersionId,1891
obsoletedById,
frames,37429
rerecordCount,20852
systemFrameRate,60.0988138974405
movieFileName,fcxiaopengyou-lupinsanseipandoranoisan.fm2
additionalAuthors,
createTimestamp,2016-03-14T17:56:43
authors,['fcxiaopengyou']
tags,[]
flags,[]
urls,"['https://www.youtube.com/watch?v=_IwuLYxc2Cs', 'https://archive.org/download/lupinsanseipandoranoisan-tas-fcxiaopengyou/lupinsanseipandoranoisan-tas-fcxiaopengyou.mkv', 'https://archive.org/download/lupinsanseipandoranoisan-tas-fcxiaopengyou/lupinsanseipandoranoisan-tas-fcxiaopengyou_512kb.mp4']"
filePaths,['3097M.png']
SHA1,B633CC515C6A913D5A65A230E0698446331869A5
